@@,itemlabel,item,startdate,enddate
+++,DSO,Q615838,1950,1951
+++,Major General,Q157148,1951,1953
+++,HJ,Q3695029,1953,1955
+++,HJ,Q3695029,1955,1957
+++,Major General,Q157148,1957,1962
+++,Major General,Q157148,1962,1966
+++,SPk,Q1820710,1966,1969
+++,Major General,Q157148,1969,1971
+++,Major General,Q157148,1972,1974
+++,NI(M),Q7040271,1974-07,1976-03
+++,Major General,Q157148,1976-03,1978-03
+++,Major General,Q157148,1978-03,1980-06
+++,NI(M),Q7040271,1980-06,1985-10
+++,Lieutenant General,Q152951,1987-10,1988-01
+++,Lieutenant General,Q152951,1988-01,1988-08
+++,NI(M),Q7040271,1989-05,1991-04
+++,NI(M),Q7040271,1991-04,1991-08
+++,Lieutenant General,Q152951,1991-08,1994-07
+++,NI(M),Q7040271,1994-07,1996-01
+++,Iftikhar Ali Khan,Q5991313,1996-01,1997-05
+++,Ali Kuli Khan Khattak,Q4724966,1997-05,1998-10
+++,Muhammad Aziz Khan,Q4832673,1998-10,2000-08
+++,Muhammad Yusaf Khan,Q8061827,2000-08,2001-10
+++,Shahid Aziz,Q16151458,2001-10,2003-12
->,Tariq Majid,Q6962418,2003-12-19->2003-12,2006-10-01->2006-10
+++,Lieutenant General,Q152951,2006-10,2008-10
+++,Lieutenant General,Q152951,2008-10,2010-04
+++,Khalid Shameem Wynne,Q4111559,2010-04,2010-10
+++,Waheed Arshad,Q7959755,2010-10,2013-01
+++,Rashad Mahmood,Q16731841,2013-01,2013-11
+++,Ishfaq Nadeem Ahmad,Q27907543,2013-11,2015-04
->,Zubair Hayat->Zubair Mahmood Hayat,Q27916450,2015-04-09->2015-04,2016-11-28->2016-11
+++,Bilal Akbar,Q28223663,2016-12,2018-08
->,Nadeem Raza,Q75217980,2018-08-24->2018-08,2019-11-25->2019-11
+++,Sahir Shamshad Mirza,Q108473485,2019-11,2021-09
