item,itemLabel,startDate,endDate,sourceDate,psid
Q8061827,Muhammad Yusaf Khan,2000-08,2001-10,2022-04-27,Q8061827-CD3C8477-CA48-4454-A576-E967A35B060F
Q16151458,Shahid Aziz,2001-10,2003-12,2022-04-27,Q16151458-D6225F0C-6764-4CDE-A3B4-BE30F312286B
Q6962418,Tariq Majid,2003-12-19,2006-10-01,,Q6962418-2f0a6ff3-494e-126a-2fa1-b502d6e2bce8
Q111934516,Salahuddin Satti,2006-10,2008-10,2022-05-10,Q111934516-EBE901F2-17F1-414E-9383-23E31342674B
Q111934534,Muhammad Mustafa Khan,2008-10,2010-04,2022-05-10,Q111934534-F4707FA5-6FF9-415E-81E1-39CEA8AFF84D
Q4111559,Khalid Shameem Wynne,2010-04,2010-10,2022-04-27,Q4111559-5105C29F-CB4D-4E47-8C7D-961D92ED31AE
Q7959755,Waheed Arshad,2010-10,2013-01,2022-04-27,Q7959755-6E6EC4DC-7D91-4EF0-A8CC-F7707E94D716
Q16731841,Rashad Mahmood,2013-01,2013-11,2022-04-27,Q16731841-F1F1E790-3DF3-41D5-B239-364DC9579E6D
Q27907543,Ishfaq Nadeem Ahmad,2013-11,2015-04,2022-04-27,Q27907543-09857D71-E747-4A3C-AAAB-3C0BEEC1BD42
Q27916450,Zubair Hayat,2015-04-09,2016-11-28,,Q27916450-BDB4BA9D-22C6-48AE-9F41-6A0F31C38E34
Q28223663,Bilal Akbar,2016-12,2018-08,2022-04-27,Q28223663-172A2CF6-AB60-45E4-B737-7D38C8DDEA1D
Q75217980,Nadeem Raza,2018-08-24,2019-11-25,,Q75217980-2b0f96e2-400b-1498-2d9f-8f04032446b7
Q108473485,Sahir Shamshad Mirza,2019-11,2021-09,2022-04-27,Q108473485-B7793D82-F21E-4D24-A172-CC3B5D724073
Q108593754,Azhar Abbas,2021-09-08,,,Q108593754-B3E4C9D1-A844-45B8-B743-C68E26981466
